Timestamp,MAC_Address,Frame_Number,RSSI,Data_Size,Raw_Hex_Data,frame_count,frame_type,vbat,mean_mag_z,sd_mag_z,mean_acc,sd_acc,max_acc,mean_mag_z_T,sd_mag_z_T,mean_acc_ms2,sd_acc_ms2,max_acc_ms2,flow_state,is_attached,lost_frames
2025-11-17 17:43:45.756,EC:69:0B:19:32:8E,1,-66,46,02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF 98 18 00 00 0A 00 27 01 7A 0E 38 00 00 00 00 00 00 00 00 00,6296,10,2.95,3706,56,0,0,0,3.706,0.056,0.0,0.0,0.0,3706,True,0
2025-11-17 17:43:46.769,EC:69:0B:19:32:8E,2,-65,46,02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF 99 18 00 00 0A 00 27 01 AB 0E 61 00 00 00 00 00 00 00 00 00,6297,10,2.95,3755,97,0,0,0,3.755,0.097,0.0,0.0,0.0,3755,True,0
2025-11-17 17:43:48.780,EC:69:0B:19:32:8E,3,-66,46,02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF 9B 18 00 00 0A 00 27 01 8C 0E 37 00 00 00 00 00 00 00 00 00,6299,10,2.95,3724,55,0,0,0,3.724,0.055,0.0,0.0,0.0,3724,True,1
2025-11-17 17:43:49.786,EC:69:0B:19:32:8E,4,-64,46,02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF 9C 18 00 00 0A 00 26 01 8B 0E 3D 00 00 00 00 00 00 00 00 00,6300,10,2.94,3723,61,0,0,0,3.723,0.061,0.0,0.0,0.0,3723,True,0
2025-11-17 17:43:50.790,EC:69:0B:19:32:8E,5,-65,46,02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF 9D 18 00 00 0A 00 26 01 9A 0E 61 00 00 00 00 00 00 00 00 00,6301,10,2.94,3738,97,0,0,0,3.738,0.097,0.0,0.0,0.0,3738,True,0
2025-11-17 17:43:51.801,EC:69:0B:19:32:8E,6,-63,46,02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF 9E 18 00 00 0A 00 27 01 9E 0E 2B 00 00 00 00 00 00 00 00 00,6302,10,2.95,3742,43,0,0,0,3.742,0.043,0.0,0.0,0.0,3742,True,0
2025-11-17 17:43:52.806,EC:69:0B:19:32:8E,7,-67,46,02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF 9F 18 00 00 0A 00 26 01 83 0E 3B 00 00 00 00 00 00 00 00 00,6303,10,2.94,3715,59,0,0,0,3.715,0.059,0.0,0.0,0.0,3715,True,0
2025-11-17 17:43:54.820,EC:69:0B:19:32:8E,8,-66,46,02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF A1 18 00 00 0A 00 26 01 A6 0E 4B 00 00 00 00 00 00 00 00 00,6305,10,2.94,3750,75,0,0,0,3.75,0.075,0.0,0.0,0.0,3750,True,1
2025-11-17 17:43:55.823,EC:69:0B:19:32:8E,9,-68,46,02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF A2 18 00 00 0A 00 26 01 64 0E 66 00 00 00 00 00 00 00 00 00,6306,10,2.94,3684,102,0,0,0,3.684,0.102,0.0,0.0,0.0,3684,True,0
2025-11-17 17:43:56.819,EC:69:0B:19:32:8E,10,-67,46,02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF A3 18 00 00 0A 00 26 01 42 0E 51 00 00 00 00 00 00 00 00 00,6307,10,2.94,3650,81,0,0,0,3.65,0.081,0.0,0.0,0.0,3650,True,0
